"id";"Hiippakunta";"HPK_koodi";"Kunta";"Kunta_nro";"Rovastikunta";"RVK_koodi";"Seurakunta";"Seurakuntatalous";"SRK_koodi";"SRKT_koodi"
1;"Turku";"H00001";"KAARINA";"202";"Turun tuomiorvk";"R00001";"Piikkiö";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000091";"000839"
2;"Turku";"H00001";"KAARINA";"202";"Turun tuomiorvk";"R00001";"Kaarina";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000587";"000839"
3;"Turku";"H00001";"KAARINA,TURKU";"202.853";"Turun tuomiorvk";"R00001";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000839";"000839"
4;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Paattinen";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000086";"000839"
5;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Tuomiokirkko";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000116";"000839"
6;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Martti";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000117";"000839"
7;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Mikael";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000118";"000839"
8;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Henrik";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000119";"000839"
9;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Turun Katariina";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000120";"000839"
10;"Turku";"H00001";"TURKU";"853";"Turun tuomiorvk";"R00001";"Maaria";"Turun ja Kaarinan srky-Åbo och St.Karins ksamf";"000121";"000839"
11;"Turku";"H00001";"MASKU";"481";"Naantali";"R00002";"Masku";"Masku";"000072";"000072"
12;"Turku";"H00001";"MYNÄMÄKI";"503";"Naantali";"R00002";"Mynämäki";"Mynämäki";"000080";"000080"
13;"Turku";"H00001";"NOUSIAINEN";"538";"Naantali";"R00002";"Nousiainen";"Nousiainen";"000084";"000084"
14;"Turku";"H00001";"RAISIO";"680";"Naantali";"R00002";"Raisio";"Raisio";"000101";"000101"
15;"Turku";"H00001";"RUSKO";"704";"Naantali";"R00002";"Rusko";"Rusko";"000104";"000104"
16;"Turku";"H00001";"NAANTALI";"529";"Naantali";"R00002";"Merimasku";"Naantalin srky";"000075";"004004"
17;"Turku";"H00001";"NAANTALI";"529";"Naantali";"R00002";"Naantali";"Naantalin srky";"000081";"004004"
18;"Turku";"H00001";"NAANTALI";"529";"Naantali";"R00002";"Rymättylä";"Naantalin srky";"000105";"004004"
19;"Turku";"H00001";"NAANTALI";"529";"Naantali";"R00002";"Naantalin srky";"Naantalin srky";"004004";"004004"
20;"Turku";"H00001";"AURA";"19";"Paimio";"R00003";"Aura";"Aura";"000035";"000035"
21;"Turku";"H00001";"LIETO";"423";"Paimio";"R00003";"Lieto";"Lieto";"000066";"000066"
22;"Turku";"H00001";"PAIMIO";"577";"Paimio";"R00003";"Paimio";"Paimio";"000087";"000087"
23;"Turku";"H00001";"SAUVO";"738";"Paimio";"R00003";"Sauvo-Karuna";"Sauvo-Karuna";"000107";"000107"
24;"Turku";"H00001";"PARAINEN";"445";"Paimio";"R00003";"Länsi-Turunmaa";"Pargas ksamf-Paraisten srky";"001009";"000827"
25;"Turku";"H00001";"SALO";"734";"Paimio";"R00003";"Salo";"Salo";"001001";"001001"
26;"Turku";"H00001";"KUSTAVI";"304";"Vehmaa";"R00005";"Kustavi";"Kustavi";"000059";"000059"
27;"Turku";"H00001";"LAITILA";"400";"Vehmaa";"R00005";"Laitila";"Laitila";"000062";"000062"
28;"Turku";"H00001";"PYHÄRANTA";"631";"Vehmaa";"R00005";"Pyhäranta";"Pyhäranta";"000099";"000099"
29;"Turku";"H00001";"TAIVASSALO";"833";"Vehmaa";"R00005";"Taivassalo";"Taivassalo";"000114";"000114"
30;"Turku";"H00001";"UUSIKAUPUNKI";"895";"Vehmaa";"R00005";"Uusikaupunki";"Uusikaupunki";"000124";"000124"
31;"Turku";"H00001";"VEHMAA";"918";"Vehmaa";"R00005";"Vehmaa";"Vehmaa";"000127";"000127"
32;"Turku";"H00001";"KANKAANPÄÄ";"214";"Pori";"R00007";"Kankaanpää";"Kankaanpää";"000044";"000044"
33;"Turku";"H00001";"MERIKARVIA";"484";"Pori";"R00007";"Merikarvia";"Merikarvia";"000074";"000074"
34;"Turku";"H00001";"POMARKKU";"608";"Pori";"R00007";"Pomarkku";"Pomarkku";"000092";"000092"
35;"Turku";"H00001";"SIIKAINEN";"747";"Pori";"R00007";"Siikainen";"Siikainen";"000108";"000108"
36;"Turku";"H00001";"ULVILA";"886";"Pori";"R00007";"Ulvila";"Ulvila";"000123";"000123"
37;"Turku";"H00001";"PORI";"609";"Pori";"R00007";"Lavia";"Porin ev.lut.srky";"000064";"000830"
38;"Turku";"H00001";"PORI";"609";"Pori";"R00007";"Noormarkku";"Porin ev.lut.srky";"000083";"000830"
39;"Turku";"H00001";"PORI";"609";"Pori";"R00007";"Keski-Pori";"Porin ev.lut.srky";"000093";"000830"
40;"Turku";"H00001";"PORI";"609";"Pori";"R00007";"Länsi-Pori";"Porin ev.lut.srky";"000094";"000830"
41;"Turku";"H00001";"PORI";"609";"Pori";"R00007";"Teljä";"Porin ev.lut.srky";"000096";"000830"
42;"Turku";"H00001";"PORI";"609";"Pori";"R00007";"Porin ev.lut.srky";"Porin ev.lut.srky";"000830";"000830"
43;"Turku";"H00001";"PORI";"609";"Pori";"R00007";"Meri-Pori";"Porin ev.lut.srky";"001018";"000830"
44;"Turku";"H00001";"KOSKITL";"284";"Loimaa";"R00009";"Koski Tl";"Koski Tl";"000057";"000057"
45;"Turku";"H00001";"MARTTILA";"480";"Loimaa";"R00009";"Marttila";"Marttila";"000071";"000071"
46;"Turku";"H00001";"ORIPÄÄ,PÖYTYÄ";"561.636";"Loimaa";"R00009";"Pöytyä";"Pöytyä";"000100";"000100"
47;"Turku";"H00001";"LOIMAA";"430";"Loimaa";"R00009";"Loimaa";"Loimaa";"000607";"000607"
48;"Turku";"H00001";"EURA";"50";"Ala-Satakunta";"R00085";"Eura";"Eura";"000036";"000036"
49;"Turku";"H00001";"EURAJOKI";"51";"Ala-Satakunta";"R00085";"Eurajoki";"Eurajoki";"000037";"000037"
50;"Turku";"H00001";"HARJAVALTA";"79";"Ala-Satakunta";"R00085";"Harjavalta";"Harjavalta";"000039";"000039"
51;"Turku";"H00001";"HUITTINEN";"102";"Ala-Satakunta";"R00085";"Huittinen";"Huittinen";"000042";"000042"
52;"Turku";"H00001";"KOKEMÄKI";"271";"Ala-Satakunta";"R00085";"Kokemäki";"Kokemäki";"000056";"000056"
53;"Turku";"H00001";"NAKKILA";"531";"Ala-Satakunta";"R00085";"Nakkila";"Nakkila";"000082";"000082"
54;"Turku";"H00001";"PUNKALAIDUN";"619";"Ala-Satakunta";"R00085";"Punkalaidun";"Punkalaidun";"000097";"000097"
55;"Turku";"H00001";"RAUMA";"684";"Ala-Satakunta";"R00085";"Rauma";"Rauma";"000102";"000102"
56;"Turku";"H00001";"SASTAMALA";"790";"Ala-Satakunta";"R00085";"Sastamala";"Sastamala";"001003";"001003"
57;"Turku";"H00001";"SÄKYLÄ";"783";"Ala-Satakunta";"R00085";"Säkylä-Köyliö";"Säkylä-Köyliö";"001022";"001022"
58;"Tampere";"H00002";"TAMPERE";"837";"Tampereen tuomiorvk";"R00012";"Tampereen Harju";"Tampereen ev.lut.srky-Tammerfors ev.luth.ksamf";"000189";"000837"
59;"Tampere";"H00002";"TAMPERE";"837";"Tampereen tuomiorvk";"R00012";"Tampereen ev.lut.srky-Tammerfors ev.luth.ksamf";"Tampereen ev.lut.srky-Tammerfors ev.luth.ksamf";"000837";"000837"
60;"Tampere";"H00002";"TAMPERE";"837";"Tampereen tuomiorvk";"R00012";"Tampereen Tuomiokirkko";"Tampereen ev.lut.srky-Tammerfors ev.luth.ksamf";"001015";"000837"
61;"Tampere";"H00002";"TAMPERE";"837";"Tampereen tuomiorvk";"R00012";"Tampereen Eteläinen";"Tampereen ev.lut.srky-Tammerfors ev.luth.ksamf";"001016";"000837"
62;"Tampere";"H00002";"TAMPERE";"837";"Tampereen tuomiorvk";"R00012";"Messukylä";"Tampereen ev.lut.srky-Tammerfors ev.luth.ksamf";"001017";"000837"
63;"Tampere";"H00002";"HATTULA";"82";"Hämeenlinna";"R00013";"Hattula";"Hattula";"000135";"000135"
64;"Tampere";"H00002";"HÄMEENLINNA";"109";"Hämeenlinna";"R00013";"Hauho";"Hämeenlinnan srky";"000136";"004005"
65;"Tampere";"H00002";"HÄMEENLINNA";"109";"Hämeenlinna";"R00013";"Kalvola";"Hämeenlinnan srky";"000149";"004005"
66;"Tampere";"H00002";"HÄMEENLINNA";"109";"Hämeenlinna";"R00013";"Lammi";"Hämeenlinnan srky";"000164";"004005"
67;"Tampere";"H00002";"HÄMEENLINNA";"109";"Hämeenlinna";"R00013";"Tuulos";"Hämeenlinnan srky";"000192";"004005"
68;"Tampere";"H00002";"HÄMEENLINNA";"109";"Hämeenlinna";"R00013";"Hämeenlinna-Vanaja";"Hämeenlinnan srky";"000644";"004005"
69;"Tampere";"H00002";"HÄMEENLINNA";"109";"Hämeenlinna";"R00013";"Hämeenlinnan srky";"Hämeenlinnan srky";"004005";"004005"
70;"Tampere";"H00002";"AKAA";"20";"Sääksmäki";"R00015";"Akaa";"Akaa";"000131";"000131"
71;"Tampere";"H00002";"KANGASALA";"211";"Sääksmäki";"R00015";"Kangasala";"Kangasala";"000150";"000150"
72;"Tampere";"H00002";"LEMPÄÄLÄ";"418";"Sääksmäki";"R00015";"Lempäälä";"Lempäälä";"000165";"000165"
73;"Tampere";"H00002";"PÄLKÄNE";"635";"Sääksmäki";"R00015";"Pälkäne";"Pälkäne";"000174";"000174"
74;"Tampere";"H00002";"VALKEAKOSKI";"908";"Sääksmäki";"R00015";"Sääksmäki";"Sääksmäki";"000181";"000181"
75;"Tampere";"H00002";"URJALA";"887";"Sääksmäki";"R00015";"Urjala";"Urjala";"000194";"000194"
76;"Tampere";"H00002";"VESILAHTI";"922";"Sääksmäki";"R00015";"Vesilahti";"Vesilahti";"000197";"000197"
77;"Tampere";"H00002";"HAUSJÄRVI";"86";"Janakkala";"R00016";"Hausjärvi";"Hausjärvi";"000137";"000137"
78;"Tampere";"H00002";"JANAKKALA";"165";"Janakkala";"R00016";"Janakkala";"Janakkala";"000143";"000143"
79;"Tampere";"H00002";"LOPPI";"433";"Janakkala";"R00016";"Loppi";"Loppi";"000166";"000166"
80;"Tampere";"H00002";"RIIHIMÄKI";"694";"Janakkala";"R00016";"Riihimäki";"Riihimäki";"000176";"000176"
81;"Tampere";"H00002";"ORIMATTILA";"560";"Hollola";"R00017";"Orimattila";"Orimattila";"000022";"000022"
82;"Tampere";"H00002";"ASIKKALA";"16";"Hollola";"R00017";"Asikkala";"Asikkala";"000132";"000132"
83;"Tampere";"H00002";"HOLLOLA,KUHMOINEN,KÄRKÖLÄ,PADASJOKI";"98,291,316,576";"Hollola";"R00017";"Hollola";"Hollola";"000138";"000138"
84;"Tampere";"H00002";"LAHTI";"398";"Hollola";"R00017";"Keski-Lahti";"Lahden srky";"000160";"000820"
85;"Tampere";"H00002";"LAHTI";"398";"Hollola";"R00017";"Laune";"Lahden srky";"000161";"000820"
86;"Tampere";"H00002";"LAHTI";"398";"Hollola";"R00017";"Joutjärvi";"Lahden srky";"000162";"000820"
87;"Tampere";"H00002";"LAHTI";"398";"Hollola";"R00017";"Salpausselkä";"Lahden srky";"000163";"000820"
88;"Tampere";"H00002";"LAHTI";"398";"Hollola";"R00017";"Nastola";"Lahden srky";"000169";"000820"
89;"Tampere";"H00002";"LAHTI";"398";"Hollola";"R00017";"Lahden srky";"Lahden srky";"000820";"000820"
90;"Tampere";"H00002";"JÄMSÄ";"182";"Ruovesi";"R00019";"Jämsä";"Jämsä";"000147";"000147"
91;"Tampere";"H00002";"JUUPAJOKI,ORIVESI";"177.562";"Ruovesi";"R00019";"Orivesi";"Orivesi";"000171";"000171"
92;"Tampere";"H00002";"RUOVESI";"702";"Ruovesi";"R00019";"Ruovesi";"Ruovesi";"000177";"000177"
93;"Tampere";"H00002";"MÄNTTÄ-VILPPULA";"508";"Ruovesi";"R00019";"Mänttä-Vilppula";"Mänttä-Vilppula";"001004";"001004"
94;"Tampere";"H00002";"HÄMEENKYRÖ";"108";"Hämeenkyrö";"R00020";"Hämeenkyrö";"Hämeenkyrö";"000140";"000140"
95;"Tampere";"H00002";"IKAALINEN";"143";"Hämeenkyrö";"R00020";"Ikaalinen";"Ikaalinen";"000142";"000142"
96;"Tampere";"H00002";"JÄMIJÄRVI";"181";"Hämeenkyrö";"R00020";"Jämijärvi";"Jämijärvi";"000146";"000146"
97;"Tampere";"H00002";"NOKIA";"536";"Hämeenkyrö";"R00020";"Nokia";"Nokia";"000170";"000170"
98;"Tampere";"H00002";"PIRKKALA";"604";"Hämeenkyrö";"R00020";"Pirkkala";"Pirkkala";"000173";"000173"
99;"Tampere";"H00002";"YLÖJÄRVI";"980";"Hämeenkyrö";"R00020";"Ylöjärvi";"Ylöjärvi";"000200";"000200"
100;"Tampere";"H00002";"FORSSA";"61";"Tammela";"R00021";"Forssa";"Forssa";"000134";"000134"
101;"Tampere";"H00002";"HUMPPILA";"103";"Tammela";"R00021";"Humppila";"Humppila";"000139";"000139"
102;"Tampere";"H00002";"JOKIOINEN";"169";"Tammela";"R00021";"Jokioinen";"Jokioinen";"000144";"000144"
103;"Tampere";"H00002";"SOMERO";"761";"Tammela";"R00021";"Somero";"Somero";"000180";"000180"
104;"Tampere";"H00002";"TAMMELA";"834";"Tammela";"R00021";"Tammela";"Tammela";"000182";"000182"
105;"Tampere";"H00002";"YPÄJÄ";"981";"Tammela";"R00021";"Ypäjä";"Ypäjä";"000201";"000201"
106;"Oulu";"H00003";"II";"139";"Oulun tuomiorvk";"R00022";"Ii";"Ii";"000211";"000211"
107;"Oulu";"H00003";"OULU";"564";"Oulun tuomiorvk";"R00022";"Haukipudas";"Oulun ev.lut.srky";"000209";"000826"
108;"Oulu";"H00003";"OULU";"564";"Oulun tuomiorvk";"R00022";"Kiiminki";"Oulun ev.lut.srky";"000222";"000826"
109;"Oulu";"H00003";"OULU";"564";"Oulun tuomiorvk";"R00022";"Oulunsalo";"Oulun ev.lut.srky";"000242";"000826"
110;"Oulu";"H00003";"OULU";"564";"Oulun tuomiorvk";"R00022";"Tuira";"Oulun ev.lut.srky";"000600";"000826"
111;"Oulu";"H00003";"OULU";"564";"Oulun tuomiorvk";"R00022";"Karjasilta";"Oulun ev.lut.srky";"000601";"000826"
112;"Oulu";"H00003";"OULU";"564";"Oulun tuomiorvk";"R00022";"Oulun Tuomiokirkko";"Oulun ev.lut.srky";"000602";"000826"
113;"Oulu";"H00003";"OULU";"564";"Oulun tuomiorvk";"R00022";"Oulujoki";"Oulun ev.lut.srky";"000603";"000826"
114;"Oulu";"H00003";"OULU";"564";"Oulun tuomiorvk";"R00022";"Oulun ev.lut.srky";"Oulun ev.lut.srky";"000826";"000826"
115;"Oulu";"H00003";"HAILUOTO";"72";"Liminka";"R00023";"Hailuoto";"Hailuoto";"000207";"000207"
116;"Oulu";"H00003";"KEMPELE";"244";"Liminka";"R00023";"Kempele";"Kempele";"000220";"000220"
117;"Oulu";"H00003";"LIMINKA";"425";"Liminka";"R00023";"Liminka";"Liminka";"000231";"000231"
118;"Oulu";"H00003";"LUMIJOKI";"436";"Liminka";"R00023";"Lumijoki";"Lumijoki";"000233";"000233"
119;"Oulu";"H00003";"MUHOS";"494";"Liminka";"R00023";"Muhos";"Muhos";"000235";"000235"
120;"Oulu";"H00003";"TYRNÄVÄ";"859";"Liminka";"R00023";"Tyrnävä";"Tyrnävä";"000272";"000272"
121;"Oulu";"H00003";"UTAJÄRVI";"889";"Liminka";"R00023";"Utajärvi";"Utajärvi";"000274";"000274"
122;"Oulu";"H00003";"RAAHE,SIIKAJOKI";"678.748";"Raahe";"R00025";"Raahe";"Raahe";"000253";"000253"
123;"Oulu";"H00003";"PYHÄNTÄ,SIIKALATVA";"630.791";"Raahe";"R00025";"Siikalatva";"Siikalatva";"000641";"000641"
124;"Oulu";"H00003";"ALAVIESKA";"9";"Kalajoki";"R00026";"Alavieska";"Alavieska";"000203";"000203"
125;"Oulu";"H00003";"HAAPAJÄRVI";"69";"Kalajoki";"R00026";"Haapajärvi";"Haapajärvi";"000205";"000205"
126;"Oulu";"H00003";"HAAPAVESI";"71";"Kalajoki";"R00026";"Haapavesi";"Haapavesi";"000206";"000206"
127;"Oulu";"H00003";"KALAJOKI";"208";"Kalajoki";"R00026";"Kalajoki";"Kalajoki";"000213";"000213"
128;"Oulu";"H00003";"KÄRSÄMÄKI";"317";"Kalajoki";"R00026";"Kärsämäki";"Kärsämäki";"000229";"000229"
129;"Oulu";"H00003";"NIVALA";"535";"Kalajoki";"R00026";"Nivala";"Nivala";"000237";"000237"
130;"Oulu";"H00003";"OULAINEN";"563";"Kalajoki";"R00026";"Oulainen";"Oulainen";"000238";"000238"
131;"Oulu";"H00003";"PYHÄJOKI";"625";"Kalajoki";"R00026";"Pyhäjoki";"Pyhäjoki";"000251";"000251"
132;"Oulu";"H00003";"REISJÄRVI";"691";"Kalajoki";"R00026";"Reisjärvi";"Reisjärvi";"000257";"000257"
133;"Oulu";"H00003";"SIEVI";"746";"Kalajoki";"R00026";"Sievi";"Sievi";"000262";"000262"
134;"Oulu";"H00003";"MERIJÄRVI,YLIVIESKA";"483.977";"Kalajoki";"R00026";"Ylivieska";"Ylivieska";"000281";"000281"
135;"Oulu";"H00003";"HALSUA";"74";"Kokkola";"R00027";"Halsua";"Halsua";"000208";"000208"
136;"Oulu";"H00003";"KANNUS";"217";"Kokkola";"R00027";"Kannus";"Kannus";"000214";"000214"
137;"Oulu";"H00003";"PERHO";"584";"Kokkola";"R00027";"Perho";"Perho";"000246";"000246"
138;"Oulu";"H00003";"LESTIJÄRVI,TOHOLAMPI";"421.849";"Kokkola";"R00027";"Toholampi";"Toholampi";"000269";"000269"
139;"Oulu";"H00003";"VETELI";"924";"Kokkola";"R00027";"Veteli";"Veteli";"000276";"000276"
140;"Oulu";"H00003";"KAUSTINEN,KOKKOLA";"236.272";"Kokkola";"R00027";"Kaustinen ja Ullava";"Kokkolan srky-Karleby ksamf";"000640";"000816"
141;"Oulu";"H00003";"KAUSTINEN,KOKKOLA";"236.272";"Kokkola";"R00027";"Kokkolan srky-Karleby ksamf";"Kokkolan srky-Karleby ksamf";"000816";"000816"
142;"Oulu";"H00003";"KOKKOLA";"272";"Kokkola";"R00027";"Kokkolan suom";"Kokkolan srky-Karleby ksamf";"000224";"000816"
143;"Oulu";"H00003";"KOKKOLA";"272";"Kokkola";"R00027";"Kälviä";"Kokkolan srky-Karleby ksamf";"000228";"000816"
144;"Oulu";"H00003";"KOKKOLA";"272";"Kokkola";"R00027";"Lohtaja";"Kokkolan srky-Karleby ksamf";"000232";"000816"
145;"Oulu";"H00003";"KEMIJÄRVI";"320";"Rovaniemi";"R00028";"Kemijärvi";"Kemijärvi";"000219";"000219"
146;"Oulu";"H00003";"PELKOSENNIEMI,SAVUKOSKI";"583.742";"Rovaniemi";"R00028";"Pelkosenniemi";"Pelkosenniemi";"000245";"000245"
147;"Oulu";"H00003";"POSIO";"614";"Rovaniemi";"R00028";"Posio";"Posio";"000248";"000248"
148;"Oulu";"H00003";"RANUA";"683";"Rovaniemi";"R00028";"Ranua";"Ranua";"000255";"000255"
149;"Oulu";"H00003";"ROVANIEMI";"698";"Rovaniemi";"R00028";"Rovaniemi";"Rovaniemi";"000259";"000259"
150;"Oulu";"H00003";"SALLA";"732";"Rovaniemi";"R00028";"Salla";"Salla";"000260";"000260"
151;"Oulu";"H00003";"KEMI";"240";"Kemi-Tornio";"R00029";"Kemi";"Kemi";"000217";"000217"
152;"Oulu";"H00003";"KEMINMAA";"241";"Kemi-Tornio";"R00029";"Keminmaa";"Keminmaa";"000218";"000218"
153;"Oulu";"H00003";"SIMO";"751";"Kemi-Tornio";"R00029";"Simo";"Simo";"000264";"000264"
154;"Oulu";"H00003";"TERVOLA";"845";"Kemi-Tornio";"R00029";"Tervola";"Tervola";"000268";"000268"
155;"Oulu";"H00003";"TORNIO";"851";"Kemi-Tornio";"R00029";"Tornio";"Tornio";"000270";"000270"
156;"Oulu";"H00003";"PELLO";"854";"Kemi-Tornio";"R00029";"Pello";"Pello";"000271";"000271"
157;"Oulu";"H00003";"YLITORNIO";"976";"Kemi-Tornio";"R00029";"Ylitornio";"Ylitornio";"000280";"000280"
158;"Oulu";"H00003";"ENONTEKIÖ";"47";"Lappi";"R00030";"Enontekiö";"Enontekiö";"000204";"000204"
159;"Oulu";"H00003";"INARI";"148";"Lappi";"R00030";"Inari";"Inari";"000212";"000212"
160;"Oulu";"H00003";"KITTILÄ";"261";"Lappi";"R00030";"Kittilä";"Kittilä";"000223";"000223"
161;"Oulu";"H00003";"KOLARI";"273";"Lappi";"R00030";"Kolari";"Kolari";"000225";"000225"
162;"Oulu";"H00003";"MUONIO";"498";"Lappi";"R00030";"Muonio";"Muonio";"000236";"000236"
163;"Oulu";"H00003";"SODANKYLÄ";"758";"Lappi";"R00030";"Sodankylä";"Sodankylä";"000265";"000265"
164;"Oulu";"H00003";"UTSJOKI";"890";"Lappi";"R00030";"Utsjoki";"Utsjoki";"000275";"000275"
165;"Oulu";"H00003";"KUUSAMO";"305";"Koillismaa";"R00083";"Kuusamo";"Kuusamo";"000227";"000227"
166;"Oulu";"H00003";"PUDASJÄRVI";"615";"Koillismaa";"R00083";"Pudasjärvi";"Pudasjärvi";"000249";"000249"
167;"Oulu";"H00003";"TAIVALKOSKI";"832";"Koillismaa";"R00083";"Taivalkoski";"Taivalkoski";"000266";"000266"
168;"Mikkeli";"H00004";"HIRVENSALMI";"97";"Mikkelin tuomiorvk";"R00031";"Hirvensalmi";"Hirvensalmi";"000292";"000292"
169;"Mikkeli";"H00004";"JUVA";"178";"Mikkelin tuomiorvk";"R00031";"Juva";"Juva";"000299";"000299"
170;"Mikkeli";"H00004";"KANGASNIEMI";"213";"Mikkelin tuomiorvk";"R00031";"Kangasniemi";"Kangasniemi";"000300";"000300"
171;"Mikkeli";"H00004";"MÄNTYHARJU,PERTUNMAA";"507.588";"Mikkelin tuomiorvk";"R00031";"Mäntyharju";"Mäntyharju";"000320";"000320"
172;"Mikkeli";"H00004";"MIKKELI";"491";"Mikkelin tuomiorvk";"R00031";"Mikkelin Tuomiokirkko";"Mikkelin Tuomiokirkko";"001014";"001014"
173;"Mikkeli";"H00004";"KITEE,RÄÄKKYLÄ";"260.707";"Savonlinna";"R00032";"Kitee";"Kitee";"000303";"000303"
174;"Mikkeli";"H00004";"PUUMALA";"623";"Savonlinna";"R00032";"Puumala";"Puumala";"000325";"000325"
175;"Mikkeli";"H00004";"SULKAVA";"768";"Savonlinna";"R00032";"Sulkava";"Sulkava";"000338";"000338"
176;"Mikkeli";"H00004";"TOHMAJÄRVI";"848";"Savonlinna";"R00032";"Tohmajärvi";"Tohmajärvi";"000343";"000343"
177;"Mikkeli";"H00004";"ENONKOSKI,RANTASALMI,SAVONLINNA";"46,681,740";"Savonlinna";"R00032";"Savonlinna";"Savonlinna";"001013";"001013"
178;"Mikkeli";"H00004";"IMATRA";"153";"Imatra";"R00034";"Imatra";"Imatra";"000294";"000294"
179;"Mikkeli";"H00004";"PARIKKALA";"580";"Imatra";"R00034";"Parikkala";"Parikkala";"000322";"000322"
180;"Mikkeli";"H00004";"RAUTJÄRVI";"689";"Imatra";"R00034";"Rautjärvi";"Rautjärvi";"000328";"000328"
181;"Mikkeli";"H00004";"RUOKOLAHTI";"700";"Imatra";"R00034";"Ruokolahti";"Ruokolahti";"000330";"000330"
182;"Mikkeli";"H00004";"LEMI";"416";"Lappeenranta";"R00035";"Lemi";"Lemi";"000313";"000313"
183;"Mikkeli";"H00004";"LUUMÄKI";"441";"Lappeenranta";"R00035";"Luumäki";"Luumäki";"000315";"000315"
184;"Mikkeli";"H00004";"SAVITAIPALE";"739";"Lappeenranta";"R00035";"Savitaipale";"Savitaipale";"000333";"000333"
185;"Mikkeli";"H00004";"TAIPALSAARI";"831";"Lappeenranta";"R00035";"Taipalsaari";"Taipalsaari";"000342";"000342"
186;"Mikkeli";"H00004";"LAPPEENRANTA";"405";"Lappeenranta";"R00035";"Joutseno";"Lappeenrannan srky";"000298";"000822"
187;"Mikkeli";"H00004";"LAPPEENRANTA";"405";"Lappeenranta";"R00035";"Lappee";"Lappeenrannan srky";"000309";"000822"
188;"Mikkeli";"H00004";"LAPPEENRANTA";"405";"Lappeenranta";"R00035";"Lappeenranta";"Lappeenrannan srky";"000310";"000822"
189;"Mikkeli";"H00004";"LAPPEENRANTA";"405";"Lappeenranta";"R00035";"Lauritsala";"Lappeenrannan srky";"000311";"000822"
190;"Mikkeli";"H00004";"LAPPEENRANTA";"405";"Lappeenranta";"R00035";"Sammonlahti";"Lappeenrannan srky";"000586";"000822"
191;"Mikkeli";"H00004";"LAPPEENRANTA";"405";"Lappeenranta";"R00035";"Lappeenrannan srky";"Lappeenrannan srky";"000822";"000822"
192;"Mikkeli";"H00004";"IITTI";"142";"Kouvola";"R00036";"Iitti";"Iitti";"000293";"000293"
193;"Mikkeli";"H00004";"KOUVOLA";"286";"Kouvola";"R00036";"Anjalankoski";"Kouvolan srky";"000282";"004001"
194;"Mikkeli";"H00004";"KOUVOLA";"286";"Kouvola";"R00036";"Elimäki";"Kouvolan srky";"000284";"004001"
195;"Mikkeli";"H00004";"KOUVOLA";"286";"Kouvola";"R00036";"Kouvola";"Kouvolan srky";"000305";"004001"
196;"Mikkeli";"H00004";"KOUVOLA";"286";"Kouvola";"R00036";"Kuusankoski";"Kouvolan srky";"000306";"004001"
197;"Mikkeli";"H00004";"KOUVOLA";"286";"Kouvola";"R00036";"Valkeala";"Kouvolan srky";"000345";"004001"
198;"Mikkeli";"H00004";"KOUVOLA";"286";"Kouvola";"R00036";"Kouvolan srky";"Kouvolan srky";"004001";"004001"
199;"Mikkeli";"H00004";"PYHTÄÄ";"624";"Kotka";"R00037";"Pyhtää-Pyttis";"Pyhtää-Pyttis";"000326";"000326"
200;"Mikkeli";"H00004";"HAMINA,MIEHIKKÄLÄ,VIROLAHTI";"75,489,935";"Kotka";"R00037";"Hamina";"Hamina";"001011";"001011"
201;"Mikkeli";"H00004";"KOTKA";"285";"Kotka";"R00037";"Kotka-Kymi";"Kotka-Kymi";"001023";"001023"
202;"Mikkeli";"H00004";"HEINOLA";"111";"Heinola";"R00038";"Heinola";"Heinola";"000239";"000239"
203;"Mikkeli";"H00004";"HARTOLA";"81";"Heinola";"R00038";"Hartola";"Hartola";"000288";"000288"
204;"Mikkeli";"H00004";"JOUTSA,LUHANKA";"172.435";"Heinola";"R00038";"Joutsa";"Joutsa";"000297";"000297"
205;"Mikkeli";"H00004";"SYSMÄ";"781";"Heinola";"R00038";"Sysmä";"Sysmä";"000340";"000340"
206;"Borgå";"H00005";"PORVOO";"638";"Borgå dompr.";"R00039";"Borgå sv.domk";"Porvoon srky-Borgå ksamf";"000485";"000831"
207;"Borgå";"H00005";"SIPOO";"753";"Borgå dompr.";"R00039";"Sibbo sv";"Sipoon srky-Sibbo ksamf";"000546";"000835"
